row_name,screen_id,analyte_id,detection_pool,minipool_id,pool_id,passed_str_profiling
ACH-000348,HTS,Analyte 120,DP8,PRISM Pool 068,P917,TRUE
ACH-000774,HTS,Analyte 121,DP7,PRISM Pool 005,P901,TRUE
ACH-000608,HTS,Analyte 121,DP8,PRISM Pool 069,P917,TRUE
ACH-000624,HTS,Analyte 122,DP7,PRISM Pool 005,P901,TRUE
ACH-000507,HTS,Analyte 122,DP8,PRISM Pool 069,P917,TRUE
ACH-000888,HTS,Analyte 123,DP7,PRISM Pool 005,P901,TRUE
ACH-000378,HTS,Analyte 123,DP8,PRISM Pool 069,P917,TRUE
ACH-000449,HTS,Analyte 124,DP7,PRISM Pool 005,P901,TRUE
ACH-000686,HTS,Analyte 124,DP8,PRISM Pool 069,P917,TRUE
ACH-000587,HTS,Analyte 125,DP7,PRISM Pool 005,P901,TRUE
ACH-000075,HTS,Analyte 125,DP8,PRISM Pool 069,P917,TRUE
ACH-000879,HTS,Analyte 126,DP7,PRISM Pool 006,P902,TRUE
ACH-000276,HTS,Analyte 126,DP8,PRISM Pool 096,P918,TRUE
ACH-000873,HTS,Analyte 127,DP7,PRISM Pool 006,P902,TRUE
ACH-000446,HTS,Analyte 127,DP8,PRISM Pool 096,P918,TRUE
ACH-000855,HTS,Analyte 128,DP7,PRISM Pool 006,P902,TRUE
ACH-000092,HTS,Analyte 128,DP8,PRISM Pool 096,P918,TRUE
ACH-000320,HTS,Analyte 129,DP7,PRISM Pool 006,P902,TRUE
ACH-000890,HTS,Analyte 129,DP8,PRISM Pool 096,P918,TRUE
ACH-000759,HTS,Analyte 13,DP8,PRISM Pool 111,P923,TRUE
ACH-001145,HTS,Analyte 130,DP7,PRISM Pool 006,P902,TRUE
ACH-000724,HTS,Analyte 130,DP8,PRISM Pool 096,P918,TRUE
ACH-000832,HTS,Analyte 131,DP7,PRISM Pool 007,P902,TRUE
ACH-000996,HTS,Analyte 131,DP8,PRISM Pool 097,P918,TRUE
ACH-000558,HTS,Analyte 132,DP7,PRISM Pool 007,P902,TRUE
ACH-000622,HTS,Analyte 132,DP8,PRISM Pool 097,P918,TRUE
ACH-000488,HTS,Analyte 133,DP7,PRISM Pool 007,P902,TRUE
ACH-000800,HTS,Analyte 133,DP8,PRISM Pool 097,P918,TRUE
ACH-000593,HTS,Analyte 134,DP7,PRISM Pool 007,P902,TRUE
ACH-000899,HTS,Analyte 134,DP8,PRISM Pool 097,P918,TRUE
ACH-000913,HTS,Analyte 135,DP7,PRISM Pool 007,P902,TRUE
ACH-000539_FAILED_STR,HTS,Analyte 135,DP8,PRISM Pool 097,P918,FALSE
ACH-000632,HTS,Analyte 136,DP7,PRISM Pool 008,P902,TRUE
ACH-000582,HTS,Analyte 136,DP8,PRISM Pool 098,P918,TRUE
ACH-000530,HTS,Analyte 137,DP7,PRISM Pool 008,P902,TRUE
ACH-000990,HTS,Analyte 137,DP8,PRISM Pool 098,P918,TRUE
ACH-000781,HTS,Analyte 138,DP7,PRISM Pool 008,P902,TRUE
ACH-000019,HTS,Analyte 138,DP8,PRISM Pool 098,P918,TRUE
ACH-000833,HTS,Analyte 139,DP7,PRISM Pool 008,P902,TRUE
ACH-000260,HTS,Analyte 139,DP8,PRISM Pool 098,P918,TRUE
ACH-001321,HTS,Analyte 14,DP8,PRISM Pool 111,P923,TRUE
ACH-000137,HTS,Analyte 140,DP7,PRISM Pool 008,P902,TRUE
ACH-000592,HTS,Analyte 140,DP8,PRISM Pool 098,P918,TRUE
ACH-000319,HTS,Analyte 141,DP7,PRISM Pool 009,P902,TRUE
ACH-000489,HTS,Analyte 141,DP8,PRISM Pool 099,P918,TRUE
ACH-000047,HTS,Analyte 142,DP7,PRISM Pool 009,P902,TRUE
ACH-000430,HTS,Analyte 142,DP8,PRISM Pool 099,P918,TRUE
ACH-000266,HTS,Analyte 143,DP7,PRISM Pool 009,P902,TRUE
ACH-000692,HTS,Analyte 143,DP8,PRISM Pool 099,P918,TRUE
ACH-000273,HTS,Analyte 144,DP7,PRISM Pool 009,P902,TRUE
ACH-000547,HTS,Analyte 144,DP8,PRISM Pool 099,P918,TRUE
ACH-000630,HTS,Analyte 145,DP7,PRISM Pool 009,P902,TRUE
ACH-000580,HTS,Analyte 145,DP8,PRISM Pool 099,P918,TRUE
ACH-000475,HTS,Analyte 146,DP7,PRISM Pool 010,P902,TRUE
ACH-000848,HTS,Analyte 146,DP8,PRISM Pool 029,P918,TRUE
ACH-000986,HTS,Analyte 147,DP7,PRISM Pool 010,P902,TRUE
ACH-000785,HTS,Analyte 147,DP8,PRISM Pool 029,P918,TRUE
ACH-000518,HTS,Analyte 148,DP7,PRISM Pool 010,P902,TRUE
ACH-000988,HTS,Analyte 148,DP8,PRISM Pool 029,P918,TRUE
ACH-000466,HTS,Analyte 149,DP7,PRISM Pool 010,P902,TRUE
ACH-000403,HTS,Analyte 149,DP8,PRISM Pool 029,P918,TRUE
ACH-000417,HTS,Analyte 15,DP8,PRISM Pool 111,P923,TRUE
ACH-000555,HTS,Analyte 150,DP7,PRISM Pool 010,P902,TRUE
ACH-000141,HTS,Analyte 150,DP8,PRISM Pool 029,P918,TRUE
ACH-000843,HTS,Analyte 151,DP7,PRISM Pool 011,P903,TRUE
ACH-000808,HTS,Analyte 151,DP8,PRISM Pool 070,P919,TRUE
ACH-000391,HTS,Analyte 152,DP7,PRISM Pool 011,P903,TRUE
ACH-000040,HTS,Analyte 152,DP8,PRISM Pool 070,P919,TRUE
ACH-000450,HTS,Analyte 153,DP7,PRISM Pool 011,P903,TRUE
ACH-000715,HTS,Analyte 153,DP8,PRISM Pool 070,P919,TRUE
ACH-000232,HTS,Analyte 154,DP7,PRISM Pool 011,P903,TRUE
ACH-000447,HTS,Analyte 154,DP8,PRISM Pool 070,P919,TRUE
ACH-000711,HTS,Analyte 155,DP7,PRISM Pool 011,P903,TRUE
ACH-000186,HTS,Analyte 155,DP8,PRISM Pool 070,P919,TRUE
ACH-000060,HTS,Analyte 156,DP7,PRISM Pool 012,P903,TRUE
ACH-000984,HTS,Analyte 156,DP8,PRISM Pool 071,P919,TRUE
ACH-000747,HTS,Analyte 157,DP7,PRISM Pool 012,P903,TRUE
ACH-000840,HTS,Analyte 157,DP8,PRISM Pool 071,P919,TRUE
ACH-000809,HTS,Analyte 158,DP7,PRISM Pool 012,P903,TRUE
ACH-000318,HTS,Analyte 158,DP8,PRISM Pool 071,P919,TRUE
ACH-000322,HTS,Analyte 159,DP7,PRISM Pool 012,P903,TRUE
ACH-000579,HTS,Analyte 159,DP8,PRISM Pool 071,P919,TRUE
ACH-000499,HTS,Analyte 16,DP8,Peds Pool 002,P923,TRUE
ACH-000736,HTS,Analyte 160,DP7,PRISM Pool 012,P903,TRUE
ACH-001306,HTS,Analyte 160,DP8,PRISM Pool 071,P919,TRUE
ACH-000985,HTS,Analyte 161,DP7,PRISM Pool 013,P903,TRUE
ACH-000919,HTS,Analyte 161,DP8,PRISM Pool 072,P919,TRUE
ACH-000364,HTS,Analyte 162,DP7,PRISM Pool 013,P903,TRUE
ACH-000726,HTS,Analyte 162,DP8,PRISM Pool 072,P919,TRUE
ACH-000956,HTS,Analyte 163,DP7,PRISM Pool 013,P903,TRUE
ACH-000188,HTS,Analyte 163,DP8,PRISM Pool 072,P919,TRUE
ACH-000679,HTS,Analyte 164,DP7,PRISM Pool 013,P903,TRUE
ACH-000503,HTS,Analyte 164,DP8,PRISM Pool 072,P919,TRUE
ACH-000441,HTS,Analyte 165,DP7,PRISM Pool 013,P903,TRUE
ACH-000051,HTS,Analyte 165,DP8,PRISM Pool 072,P919,TRUE
ACH-000853,HTS,Analyte 166,DP7,PRISM Pool 014,P903,TRUE
ACH-000234,HTS,Analyte 166,DP8,PRISM Pool 073,P919,TRUE
ACH-001113,HTS,Analyte 167,DP7,PRISM Pool 014,P903,TRUE
ACH-000116,HTS,Analyte 167,DP8,PRISM Pool 073,P919,TRUE
ACH-000620,HTS,Analyte 168,DP7,PRISM Pool 014,P903,TRUE
ACH-000617,HTS,Analyte 168,DP8,PRISM Pool 073,P919,TRUE
ACH-000648,HTS,Analyte 169,DP7,PRISM Pool 014,P903,TRUE
ACH-000114,HTS,Analyte 169,DP8,PRISM Pool 073,P919,TRUE
ACH-001211,HTS,Analyte 17,DP8,Peds Pool 002,P923,TRUE
ACH-000102,HTS,Analyte 170,DP7,PRISM Pool 014,P903,TRUE
ACH-000590,HTS,Analyte 170,DP8,PRISM Pool 073,P919,TRUE
ACH-000483,HTS,Analyte 171,DP7,PRISM Pool 015,P903,TRUE
ACH-000013,HTS,Analyte 171,DP8,PRISM Pool 076,P919,TRUE
ACH-000623,HTS,Analyte 172,DP7,PRISM Pool 015,P903,TRUE
ACH-000231,HTS,Analyte 172,DP8,PRISM Pool 076,P919,TRUE
ACH-000698,HTS,Analyte 173,DP7,PRISM Pool 015,P903,TRUE
ACH-000730,HTS,Analyte 173,DP8,PRISM Pool 076,P919,TRUE
ACH-000883,HTS,Analyte 174,DP7,PRISM Pool 015,P903,TRUE
ACH-000222,HTS,Analyte 174,DP8,PRISM Pool 076,P919,TRUE
ACH-000638,HTS,Analyte 175,DP7,PRISM Pool 015,P903,TRUE
ACH-000500,HTS,Analyte 175,DP8,PRISM Pool 076,P919,TRUE
ACH-000542,HTS,Analyte 176,DP7,PRISM Pool 016,P904,TRUE
ACH-000411,HTS,Analyte 176,DP8,PRISM Pool 074,P920,TRUE
ACH-000943,HTS,Analyte 177,DP7,PRISM Pool 016,P904,TRUE
ACH-000292,HTS,Analyte 177,DP8,PRISM Pool 074,P920,TRUE
ACH-000174,HTS,Analyte 178,DP7,PRISM Pool 016,P904,TRUE
ACH-000822,HTS,Analyte 178,DP8,PRISM Pool 074,P920,TRUE
ACH-000393,HTS,Analyte 179,DP7,PRISM Pool 016,P904,TRUE
ACH-000618,HTS,Analyte 179,DP8,PRISM Pool 074,P920,TRUE
ACH-001212,HTS,Analyte 18,DP8,Peds Pool 002,P923,TRUE
ACH-000018,HTS,Analyte 180,DP7,PRISM Pool 016,P904,TRUE
ACH-000827,HTS,Analyte 180,DP8,PRISM Pool 074,P920,TRUE
ACH-000906,HTS,Analyte 181,DP7,PRISM Pool 017,P904,TRUE
ACH-000278,HTS,Analyte 181,DP8,PRISM Pool 075,P920,TRUE
ACH-000836,HTS,Analyte 182,DP7,PRISM Pool 017,P904,TRUE
ACH-000569,HTS,Analyte 182,DP8,PRISM Pool 075,P920,TRUE
ACH-000784,HTS,Analyte 183,DP7,PRISM Pool 017,P904,TRUE
ACH-000139,HTS,Analyte 183,DP8,PRISM Pool 075,P920,TRUE
ACH-000265,HTS,Analyte 184,DP7,PRISM Pool 017,P904,TRUE
ACH-000425,HTS,Analyte 184,DP8,PRISM Pool 075,P920,TRUE
ACH-000657,HTS,Analyte 185,DP7,PRISM Pool 017,P904,TRUE
ACH-000741,HTS,Analyte 185,DP8,PRISM Pool 075,P920,TRUE
ACH-000880,HTS,Analyte 186,DP7,PRISM Pool 018,P904,TRUE
ACH-000223,HTS,Analyte 186,DP8,PRISM Pool 079,P920,TRUE
ACH-000961,HTS,Analyte 187,DP7,PRISM Pool 018,P904,TRUE
ACH-000477,HTS,Analyte 187,DP8,PRISM Pool 079,P920,TRUE
ACH-000847,HTS,Analyte 188,DP7,PRISM Pool 018,P904,TRUE
ACH-000495,HTS,Analyte 188,DP8,PRISM Pool 079,P920,TRUE
ACH-000896,HTS,Analyte 189,DP7,PRISM Pool 018,P904,TRUE
ACH-000434,HTS,Analyte 189,DP8,PRISM Pool 079,P920,TRUE
ACH-001205,HTS,Analyte 19,DP8,Peds Pool 002,P923,TRUE
ACH-000826,HTS,Analyte 190,DP7,PRISM Pool 018,P904,TRUE
ACH-000616,HTS,Analyte 190,DP8,PRISM Pool 079,P920,TRUE
ACH-000685,HTS,Analyte 191,DP7,PRISM Pool 019,P904,TRUE
ACH-000107,HTS,Analyte 191,DP8,PRISM Pool 080,P920,TRUE
ACH-000376,HTS,Analyte 192,DP7,PRISM Pool 019,P904,TRUE
ACH-000744,HTS,Analyte 192,DP8,PRISM Pool 080,P920,TRUE
ACH-000428,HTS,Analyte 193,DP7,PRISM Pool 019,P904,TRUE
ACH-000898,HTS,Analyte 193,DP8,PRISM Pool 080,P920,TRUE
ACH-000723,HTS,Analyte 194,DP7,PRISM Pool 019,P904,TRUE
ACH-000182,HTS,Analyte 194,DP8,PRISM Pool 080,P920,TRUE
ACH-000749,HTS,Analyte 195,DP7,PRISM Pool 019,P904,TRUE
ACH-000516,HTS,Analyte 195,DP8,PRISM Pool 080,P920,TRUE
ACH-000572,HTS,Analyte 196,DP7,PRISM Pool 020,P904,TRUE
ACH-000859,HTS,Analyte 196,DP8,PRISM Pool 083,P920,TRUE
ACH-000704,HTS,Analyte 197,DP7,PRISM Pool 020,P904,TRUE
ACH-000699,HTS,Analyte 197,DP8,PRISM Pool 083,P920,TRUE
ACH-000721,HTS,Analyte 198,DP7,PRISM Pool 020,P904,TRUE
ACH-000120,HTS,Analyte 198,DP8,PRISM Pool 083,P920,TRUE
ACH-000457,HTS,Analyte 199,DP7,PRISM Pool 020,P904,TRUE
ACH-000794,HTS,Analyte 199,DP8,PRISM Pool 083,P920,TRUE
ACH-001099,HTS,Analyte 20,DP8,Peds Pool 002,P923,TRUE
ACH-000601,HTS,Analyte 200,DP7,PRISM Pool 020,P904,TRUE
ACH-000645,HTS,Analyte 200,DP8,PRISM Pool 083,P920,TRUE
ACH-000651,HTS,Analyte 201,DP7,PRISM Pool 021,P905,TRUE
ACH-000361,HTS,Analyte 202,DP7,PRISM Pool 021,P905,TRUE
ACH-000842,HTS,Analyte 203,DP7,PRISM Pool 021,P905,TRUE
ACH-000570,HTS,Analyte 204,DP7,PRISM Pool 021,P905,TRUE
ACH-000396,HTS,Analyte 205,DP7,PRISM Pool 021,P905,TRUE
ACH-000777,HTS,Analyte 206,DP7,PRISM Pool 022,P905,TRUE
ACH-000924,HTS,Analyte 207,DP7,PRISM Pool 022,P905,TRUE
ACH-000096,HTS,Analyte 208,DP7,PRISM Pool 022,P905,TRUE
ACH-000955,HTS,Analyte 209,DP7,PRISM Pool 022,P905,TRUE
ACH-001022,HTS,Analyte 21,DP8,Peds Pool 003,P923,TRUE
ACH-000940,HTS,Analyte 210,DP7,PRISM Pool 022,P905,TRUE
ACH-001318,HTS,Analyte 211,DP7,PRISM Pool 023,P905,TRUE
ACH-000332,HTS,Analyte 212,DP7,PRISM Pool 023,P905,TRUE
ACH-000839,HTS,Analyte 213,DP7,PRISM Pool 023,P905,TRUE
ACH-000082,HTS,Analyte 214,DP7,PRISM Pool 023,P905,TRUE
ACH-000476,HTS,Analyte 215,DP7,PRISM Pool 023,P905,TRUE
ACH-000178,HTS,Analyte 216,DP7,PRISM Pool 024,P905,TRUE
ACH-000421,HTS,Analyte 217,DP7,PRISM Pool 024,P905,TRUE
ACH-000524,HTS,Analyte 218,DP7,PRISM Pool 024,P905,TRUE
ACH-000469,HTS,Analyte 219,DP7,PRISM Pool 024,P905,TRUE
ACH-001008,HTS,Analyte 22,DP8,Peds Pool 003,P923,TRUE
ACH-000153,HTS,Analyte 220,DP7,PRISM Pool 024,P905,TRUE
ACH-000805,HTS,Analyte 221,DP7,PRISM Pool 025,P905,TRUE
ACH-000429,HTS,Analyte 222,DP7,PRISM Pool 025,P905,TRUE
ACH-000628,HTS,Analyte 223,DP7,PRISM Pool 025,P905,TRUE
ACH-000108,HTS,Analyte 224,DP7,PRISM Pool 025,P905,TRUE
ACH-000939,HTS,Analyte 225,DP7,PRISM Pool 025,P905,TRUE
ACH-000323,HTS,Analyte 226,DP7,PRISM Pool 035,P906,TRUE
ACH-000219,HTS,Analyte 227,DP7,PRISM Pool 035,P906,TRUE
ACH-000903,HTS,Analyte 228,DP7,PRISM Pool 035,P906,TRUE
ACH-000054,HTS,Analyte 229,DP7,PRISM Pool 035,P906,TRUE
ACH-001010,HTS,Analyte 23,DP8,Peds Pool 003,P923,TRUE
ACH-000302,HTS,Analyte 230,DP7,PRISM Pool 035,P906,TRUE
ACH-000324,HTS,Analyte 231,DP7,PRISM Pool 039,P906,TRUE
ACH-000510,HTS,Analyte 232,DP7,PRISM Pool 039,P906,TRUE
ACH-000164,HTS,Analyte 233,DP7,PRISM Pool 039,P906,TRUE
ACH-000549,HTS,Analyte 234,DP7,PRISM Pool 039,P906,TRUE
ACH-000650,HTS,Analyte 235,DP7,PRISM Pool 039,P906,TRUE
ACH-000217,HTS,Analyte 236,DP7,PRISM Pool 040,P906,TRUE
ACH-000463,HTS,Analyte 237,DP7,PRISM Pool 040,P906,TRUE
ACH-000748,HTS,Analyte 238,DP7,PRISM Pool 040,P906,TRUE
ACH-000788,HTS,Analyte 239,DP7,PRISM Pool 040,P906,TRUE
ACH-001007,HTS,Analyte 24,DP8,Peds Pool 003,P923,TRUE
ACH-000086,HTS,Analyte 240,DP7,PRISM Pool 040,P906,TRUE
ACH-000545,HTS,Analyte 241,DP7,PRISM Pool 041,P906,TRUE
ACH-000762,HTS,Analyte 242,DP7,PRISM Pool 041,P906,TRUE
ACH-000792,HTS,Analyte 243,DP7,PRISM Pool 041,P906,TRUE
ACH-000211,HTS,Analyte 244,DP7,PRISM Pool 041,P906,TRUE
ACH-000936,HTS,Analyte 245,DP7,PRISM Pool 041,P906,TRUE
ACH-000882,HTS,Analyte 246,DP7,PRISM Pool 042,P906,TRUE
ACH-000471,HTS,Analyte 247,DP7,PRISM Pool 042,P906,TRUE
ACH-000947,HTS,Analyte 248,DP7,PRISM Pool 042,P906,TRUE
ACH-000670,HTS,Analyte 249,DP7,PRISM Pool 042,P906,TRUE
ACH-001009,HTS,Analyte 25,DP8,Peds Pool 003,P923,TRUE
ACH-000048,HTS,Analyte 250,DP7,PRISM Pool 042,P906,TRUE
ACH-000259,HTS,Analyte 251,DP7,PRISM Pool 045,P907,TRUE
ACH-000599,HTS,Analyte 252,DP7,PRISM Pool 045,P907,TRUE
ACH-000716,HTS,Analyte 253,DP7,PRISM Pool 045,P907,TRUE
ACH-000347,HTS,Analyte 254,DP7,PRISM Pool 045,P907,TRUE
ACH-000566,HTS,Analyte 255,DP7,PRISM Pool 045,P907,TRUE
ACH-001016,HTS,Analyte 256,DP7,PRISM Pool 051,P907,TRUE
ACH-000395,HTS,Analyte 257,DP7,PRISM Pool 051,P907,TRUE
ACH-000407,HTS,Analyte 258,DP7,PRISM Pool 051,P907,TRUE
ACH-000418,HTS,Analyte 259,DP7,PRISM Pool 051,P907,TRUE
ACH-000172,HTS,Analyte 26,DP8,Peds Pool 004,P923,TRUE
ACH-000008,HTS,Analyte 260,DP7,PRISM Pool 051,P907,TRUE
ACH-000191,HTS,Analyte 261,DP7,PRISM Pool 052,P907,TRUE
ACH-000941,HTS,Analyte 262,DP7,PRISM Pool 052,P907,TRUE
ACH-000532,HTS,Analyte 263,DP7,PRISM Pool 052,P907,TRUE
ACH-000316,HTS,Analyte 264,DP7,PRISM Pool 052,P907,TRUE
ACH-000677,HTS,Analyte 265,DP7,PRISM Pool 052,P907,TRUE
ACH-000375,HTS,Analyte 266,DP7,PRISM Pool 053,P907,TRUE
ACH-000619,HTS,Analyte 267,DP7,PRISM Pool 053,P907,TRUE
ACH-000965,HTS,Analyte 268,DP7,PRISM Pool 053,P907,TRUE
ACH-000210,HTS,Analyte 269,DP7,PRISM Pool 053,P907,TRUE
ACH-001128,HTS,Analyte 27,DP8,Peds Pool 004,P923,TRUE
ACH-000803,HTS,Analyte 270,DP7,PRISM Pool 053,P907,TRUE
ACH-000007,HTS,Analyte 271,DP7,PRISM Pool 054,P907,TRUE
ACH-000719,HTS,Analyte 272,DP7,PRISM Pool 054,P907,TRUE
ACH-000484,HTS,Analyte 273,DP7,PRISM Pool 054,P907,TRUE
ACH-000433,HTS,Analyte 274,DP7,PRISM Pool 054,P907,TRUE
ACH-000688,HTS,Analyte 275,DP7,PRISM Pool 054,P907,TRUE
ACH-000603,HTS,Analyte 276,DP7,PRISM Pool 056,P908,TRUE
ACH-000351,HTS,Analyte 277,DP7,PRISM Pool 056,P908,TRUE
ACH-000627,HTS,Analyte 278,DP7,PRISM Pool 056,P908,TRUE
ACH-000916,HTS,Analyte 279,DP7,PRISM Pool 056,P908,TRUE
ACH-001210,HTS,Analyte 28,DP8,Peds Pool 004,P923,TRUE
ACH-000863,HTS,Analyte 280,DP7,PRISM Pool 056,P908,TRUE
ACH-000732,HTS,Analyte 281,DP7,PRISM Pool 057,P908,TRUE
ACH-000066,HTS,Analyte 282,DP7,PRISM Pool 057,P908,TRUE
ACH-000015,HTS,Analyte 283,DP7,PRISM Pool 057,P908,TRUE
ACH-000511_FAILED_STR,HTS,Analyte 284,DP7,PRISM Pool 057,P908,FALSE
ACH-000674,HTS,Analyte 285,DP7,PRISM Pool 057,P908,TRUE
ACH-000892,HTS,Analyte 286,DP7,PRISM Pool 058,P908,TRUE
ACH-000909,HTS,Analyte 287,DP7,PRISM Pool 058,P908,TRUE
ACH-000237,HTS,Analyte 288,DP7,PRISM Pool 058,P908,TRUE
ACH-000811,HTS,Analyte 289,DP7,PRISM Pool 058,P908,TRUE
ACH-001192,HTS,Analyte 29,DP8,Peds Pool 004,P923,TRUE
ACH-000312,HTS,Analyte 290,DP7,PRISM Pool 058,P908,TRUE
ACH-000390,HTS,Analyte 291,DP7,PRISM Pool 059,P908,TRUE
ACH-000901,HTS,Analyte 292,DP7,PRISM Pool 059,P908,TRUE
ACH-000307,HTS,Analyte 293,DP7,PRISM Pool 059,P908,TRUE
ACH-000289,HTS,Analyte 294,DP7,PRISM Pool 059,P908,TRUE
ACH-000309,HTS,Analyte 295,DP7,PRISM Pool 059,P908,TRUE
ACH-000733,HTS,Analyte 296,DP7,PRISM Pool 060,P908,TRUE
ACH-000268,HTS,Analyte 297,DP7,PRISM Pool 060,P908,TRUE
ACH-000758,HTS,Analyte 298,DP7,PRISM Pool 060,P908,TRUE
ACH-000693,HTS,Analyte 299,DP7,PRISM Pool 060,P908,TRUE
ACH-000279,HTS,Analyte 30,DP8,Peds Pool 004,P923,TRUE
ACH-000684,HTS,Analyte 300,DP7,PRISM Pool 060,P908,TRUE
ACH-000264,HTS,Analyte 301,DP7,PRISM Pool 030,P909,TRUE
ACH-000027,HTS,Analyte 302,DP7,PRISM Pool 030,P909,TRUE
ACH-000671,HTS,Analyte 303,DP7,PRISM Pool 030,P909,TRUE
ACH-000205,HTS,Analyte 304,DP7,PRISM Pool 030,P909,TRUE
ACH-000720,HTS,Analyte 305,DP7,PRISM Pool 030,P909,TRUE
ACH-000814,HTS,Analyte 306,DP7,PRISM Pool 034,P909,TRUE
ACH-000885,HTS,Analyte 307,DP7,PRISM Pool 034,P909,TRUE
ACH-000663,HTS,Analyte 308,DP7,PRISM Pool 034,P909,TRUE
ACH-000647,HTS,Analyte 309,DP7,PRISM Pool 034,P909,TRUE
ACH-001200,HTS,Analyte 31,DP8,Peds Pool 005,P923,TRUE
ACH-000243,HTS,Analyte 310,DP7,PRISM Pool 034,P909,TRUE
ACH-000255,HTS,Analyte 311,DP7,PRISM Pool 043,P909,TRUE
ACH-000335,HTS,Analyte 312,DP7,PRISM Pool 043,P909,TRUE
ACH-000147,HTS,Analyte 313,DP7,PRISM Pool 043,P909,TRUE
ACH-000090,HTS,Analyte 314,DP7,PRISM Pool 043,P909,TRUE
ACH-000171,HTS,Analyte 315,DP7,PRISM Pool 043,P909,TRUE
ACH-000614,HTS,Analyte 316,DP7,PRISM Pool 044,P909,TRUE
ACH-000132,HTS,Analyte 317,DP7,PRISM Pool 044,P909,TRUE
ACH-000274,HTS,Analyte 318,DP7,PRISM Pool 044,P909,TRUE
ACH-000807_FAILED_STR,HTS,Analyte 319,DP7,PRISM Pool 044,P909,FALSE
ACH-001193,HTS,Analyte 32,DP8,Peds Pool 005,P923,TRUE
ACH-000810,HTS,Analyte 320,DP7,PRISM Pool 044,P909,TRUE
ACH-000343,HTS,Analyte 321,DP7,PRISM Pool 046,P909,TRUE
ACH-000022,HTS,Analyte 322,DP7,PRISM Pool 046,P909,TRUE
ACH-000192,HTS,Analyte 323,DP7,PRISM Pool 046,P909,TRUE
ACH-000409_FAILED_STR,HTS,Analyte 324,DP7,PRISM Pool 046,P909,FALSE
